iter	Passed	Remaining
361	513319	904689
362	514768	903325
363	516222	901970
364	517632	900538
365	519190	899362
366	520578	897892
367	521987	896456
368	523429	895078
369	524825	893621
370	526206	892140
371	527660	890782
372	529073	889353
373	530496	887942
374	531918	886530
375	533350	885135
376	534781	883736
377	536159	882251
378	537585	880846
379	538956	879350
380	540339	877874
381	541789	876507
382	543206	875086
383	544599	873628
384	546099	872341
385	547493	870884
386	548858	869380
387	550325	868038
388	551693	866542
389	553103	865110
390	554504	863665
391	555952	862293
392	557366	860868
393	558806	859484
394	560241	858091
395	561632	856632
396	562958	855073
397	564351	853616
398	565796	852239
399	567126	850689
400	568598	849353
401	570016	847935
402	571446	846535
403	572848	845093
404	574271	843682
405	575694	842271
406	577162	840927
407	578597	839533
408	580002	838097
409	581429	836691
410	582921	835378
411	584332	833950
412	585707	832470
413	587135	831065
414	588520	829600
415	589932	828175
416	591358	826767
417	592891	825508
418	594328	824116
419	595756	822711
420	597178	821297
421	598659	819965
422	600045	818502
423	601487	817114
424	602883	815665
425	604290	814232
426	605717	812824
427	607144	811416
428	608584	810026
429	610112	808754
430	611508	807305
431	612947	805912
432	614351	804474
433	615837	803143
434	617265	801736
435	618704	800342
436	620151	798958
437	621488	797434
438	622882	795983
439	624332	794605
440	625694	793114
441	627095	791673
442	628546	790294
443	629947	788853
444	631385	787457
445	632769	785996
446	634241	784642
447	635657	783221
448	637060	781782
449	638478	780363
450	639883	778926
451	641354	777571
452	642778	776158
453	644115	774640
454	645511	773195
455	646972	771826
456	648395	770412
457	649872	769062
458	651299	767653
459	652667	766174
460	654135	764813
461	655659	763517
462	657326	762385
463	658762	760984
464	660129	759503
465	661600	758143
466	663088	756801
467	664484	755354
468	665878	753905
469	667325	752516
470	668688	751032
471	670156	749666
472	671572	748242
473	672955	746781
474	674346	745330
475	675739	743881
476	677138	742438
477	678596	741061
478	679995	739619
479	681409	738193
480	682811	736755
481	684298	735407
482	685644	733908
483	687066	732492
484	688572	731164
485	690068	729825
486	691530	728449
487	693000	727082
488	694401	725642
489	695775	724174
490	697215	722775
491	698650	721371
492	700038	719918
493	701465	718504
494	702933	717133
495	704365	715726
496	705806	714327
497	707271	712952
498	708708	711549
499	710125	710125
500	711564	708724
501	712923	707243
502	714319	705799
503	715712	704351
504	717125	702925
505	718502	701462
506	719947	700067
507	721391	698670
508	722815	697254
509	724205	695805
510	725574	694336
511	726984	692907
512	728413	691496
513	729805	690049
514	731198	688604
515	732601	687168
516	734029	685756
517	735410	684301
518	736803	682856
519	738187	681403
520	739650	680024
521	741006	678546
522	742452	677150
523	743902	675759
524	745334	674350
525	746717	672897
526	748163	671501
527	749525	670030
528	750956	668620
529	752386	667211
530	753845	665826
531	755193	664343
532	756637	662944
533	758081	661546
534	759488	660116
535	760858	658653
536	762330	657279
537	763710	655825
538	765139	654414
539	766594	653025
540	767963	651562
541	769312	650083
542	770696	648634
543	772169	647259
544	773589	645840
545	775017	644428
546	776455	643024
547	777846	641581
548	779182	640093
549	780614	638684
550	781983	637224
551	783372	635780
552	784741	634321
553	786238	632964
554	787619	631514
555	789037	630094
556	790426	628651
557	791903	627278
558	793304	625845
559	794766	624459
560	796177	623033
561	797576	621599
562	799009	620190
563	800446	618784
564	801867	617366
565	803258	615926
566	804673	614503
567	806009	613021
568	807457	611624
569	808868	610199
570	810255	608755
571	811671	607334
572	813090	605915
573	814535	604516
574	815926	603076
575	817424	601715
576	818839	600293
577	820206	598836
578	821598	597396
579	823056	596006
580	824417	594545
581	825815	593111
582	827253	591706
583	828672	590287
584	830056	588843
585	831457	587411
586	832841	585968
587	834234	584531
588	835642	583105
589	836988	581636
590	838400	580212
591	839822	578796
592	841249	577383
593	842621	575932
594	844025	574504
595	845422	573071
596	846806	571629
597	848232	570216
598	849632	568785
599	851036	567357
600	852471	565950
601	853874	564521
602	855283	563097
603	856712	561685
604	858176	560296
605	859517	558828
606	860871	557368
607	862287	555948
608	863668	554506
609	865073	553079
610	866477	551652
611	867885	550227
612	869324	548823
613	870784	547431
614	872167	545990
615	873567	544561
616	875003	543154
617	876401	541723
618	877842	540320
619	879261	538902
620	880700	537496
621	882107	536071
622	883516	534647
623	884901	533210
624	886291	531774
625	887723	530365
626	889145	528949
627	890515	527502
628	891847	526034
629	893237	524599
630	894626	523165
631	896010	521727
632	897540	520374
633	898970	518964
634	900374	517537
635	901799	516124
636	903247	514723
637	904688	513318
638	906079	511885
639	907558	510501
640	908877	509028
641	910257	507589
642	911692	506180
643	913073	504742
644	914445	503299
645	915832	501864
646	917210	500425
647	918577	498980
648	919948	497537
649	921345	496109
650	922721	494669
651	924085	493223
652	925538	491825
653	926908	490382
654	928314	488959
655	929670	487510
656	931059	486078
657	932468	484657
658	933936	483266
659	935301	481822
660	936696	480393
661	938140	478989
662	939548	477568
663	940951	476144
664	942357	474721
665	943805	473319
666	945160	471871
667	946547	470439
668	947993	469037
669	949395	467612
670	950794	466186
671	952240	464784
672	953716	463395
673	955161	461991
674	956629	460599
675	958086	459201
676	959504	457784
677	961027	456417
678	962394	454976
679	963832	453568
680	965232	452142
681	966631	450716
682	968023	449287
683	969447	447873
684	970899	446471
685	972313	445053
686	973697	443620
687	975170	442228
688	976561	440799
689	977940	439364
690	979390	437961
691	980816	436548
692	982250	435138
693	983689	433730
694	985080	432301
695	986478	430875
696	987915	429466
697	989393	428075
698	990817	426660
699	992224	425238
700	993596	423802
701	994994	422376
702	996367	420940
703	997845	419548
704	999245	418123
705	1000692	416719
706	1002121	415306
707	1003505	413874
708	1004864	412433
709	1006257	411006
710	1007617	409566
711	1009044	408152
712	1010464	406736
713	1011845	405305
714	1013271	403891
715	1014635	402453
716	1016113	401060
717	1017496	399629
718	1018915	398212
719	1020284	396777
720	1021699	395359
721	1023125	393945
722	1024544	392529
723	1025967	391114
724	1027429	389714
725	1028893	388315
726	1030258	386878
727	1031669	385458
728	1033113	384051
729	1034479	382615
730	1035841	381178
731	1037252	379759
732	1038611	378321
733	1040059	376915
734	1041415	375476
735	1042816	374053
736	1044181	372618
737	1045582	371196
738	1047075	369806
739	1048462	368378
740	1049845	366950
741	1051270	365536
742	1052665	364111
743	1054103	362702
744	1055533	361289
745	1056925	359864
746	1058299	358433
747	1059670	357001
748	1061131	355599
749	1062487	354162
750	1063820	352718
751	1065246	351304
752	1066643	349881
753	1068041	348459
754	1069425	347031
755	1070811	345605
756	1072198	344180
757	1073633	342769
758	1075075	341361
759	1076436	339927
760	1077837	338506
761	1079224	337080
762	1080628	335660
763	1082047	334245
764	1083435	332820
765	1084838	331399
766	1086178	329960
767	1087616	328550
768	1088952	327110
769	1090392	325701
770	1091823	324289
771	1093198	322861
772	1094616	321446
773	1096067	320040
774	1097459	318617
775	1098842	317191
776	1100248	315772
777	1101641	314350
778	1103093	312944
779	1104495	311524
780	1105895	310103
781	1107269	308676
782	1108662	307253
783	1110106	305845
784	1111522	304429
785	1112906	303005
786	1114260	301572
787	1115714	300166
788	1117093	298741
789	1118439	297306
790	1119883	295898
791	1121256	294471
792	1122694	293061
793	1124094	291641
794	1125463	290213
795	1126819	288782
796	1128215	287362
797	1129584	285934
798	1130968	284511
799	1132448	283112
800	1133835	281689
801	1135198	280260
802	1136609	278844
803	1138035	277431
804	1139449	276015
805	1140873	274602
806	1142308	273191
807	1143680	271765
808	1145076	270345
809	1146529	268938
810	1147959	267526
811	1149290	266091
812	1150669	264668
813	1152099	263256
814	1153534	261845
815	1154937	260427
816	1156435	259030
817	1157861	257617
818	1159278	256201
819	1160745	254797
820	1162166	253383
821	1163586	251968
822	1164975	250547
823	1166409	249135
824	1167781	247711
825	1169167	246289
826	1170608	244879
827	1172026	243464
828	1173452	242051
829	1174889	240640
830	1176292	239221
831	1177693	237803
832	1179179	236402
833	1180529	234973
834	1181909	233550
835	1183325	232135
836	1184758	230723
837	1186102	229294
838	1187488	227873
839	1188898	226456
840	1190314	225041
841	1191690	223618
842	1193123	222206
843	1194492	220783
844	1195900	219366
845	1197345	217956
846	1198733	216536
847	1200147	215120
848	1201625	213716
849	1203024	212298
850	1204489	210891
851	1205939	209482
852	1207302	208057
853	1208691	206638
854	1210089	205219
855	1211453	203795
856	1212880	202382
857	1214272	200963
858	1215731	199555
859	1217134	198138
860	1218521	196718
861	1219983	195310
862	1221370	193890
863	1222717	192464
864	1224162	191054
865	1225559	189636
866	1226948	188216
867	1228380	186804
868	1229791	185388
869	1231160	183966
870	1232589	182553
871	1233944	181129
872	1235324	179709
873	1236711	178290
874	1238099	176871
875	1239504	175454
876	1240940	174042
877	1242389	172632
878	1243748	171210
879	1245133	169790
880	1246560	168377
881	1247977	166963
882	1249374	165545
883	1250750	164125
884	1252160	162710
885	1253573	161295
886	1255072	159890
887	1256496	158477
888	1257923	157063
889	1259335	155648
890	1260782	154237
891	1262161	152817
892	1263574	151402
893	1264987	149987
894	1266400	148572
895	1267792	147154
896	1269186	145737
897	1270535	144314
898	1271895	142893
899	1273329	141481
900	1274707	140062
901	1276126	138647
902	1277579	137237
903	1279014	135824
904	1280432	134410
905	1281837	132994
906	1283261	131580
907	1284622	130160
908	1286005	128742
909	1287432	127328
910	1288808	125909
911	1290186	124491
912	1291599	123076
913	1292983	121659
914	1294384	120243
915	1295772	118826
916	1297187	117411
917	1298550	115992
918	1299924	114574
919	1301366	113162
920	1302845	111753
921	1304294	110341
922	1305704	108926
923	1307166	107515
924	1308534	106097
925	1309955	104683
926	1311338	103266
927	1312720	101849
928	1314135	100434
929	1315470	99013
930	1316870	97598
931	1318281	96183
932	1319774	94774
933	1321297	93367
934	1322772	91957
935	1324256	90547
936	1325693	89134
937	1327117	87719
938	1328589	86308
939	1330001	84893
940	1331414	83478
941	1332897	82067
942	1334272	80650
943	1335658	79233
944	1337090	77820
945	1338479	76403
946	1339865	74987
947	1341239	73570
948	1342687	72157
949	1344072	70740
950	1345502	69326
951	1346917	67911
952	1348303	66495
953	1349737	65081
954	1351141	63666
955	1352607	62253
956	1354064	60840
957	1355473	59425
958	1356872	58010
959	1358274	56594
960	1359657	55178
961	1361142	53766
962	1362504	52349
963	1363913	50934
964	1365346	49520
965	1366780	48106
966	1368208	46691
967	1369639	45277
968	1371096	43863
969	1372453	42447
970	1373904	41033
971	1375352	39619
972	1376716	38202
973	1378107	36787
974	1379562	35373
975	1380955	33957
976	1382379	32543
977	1383802	31128
978	1385204	29713
979	1386590	28297
980	1387967	26882
981	1389393	25467
982	1390749	24051
983	1392159	22636
984	1393638	21222
985	1394965	19806
986	1396399	18392
987	1397852	16977
988	1399223	15562
989	1400614	14147
990	1402072	12733
991	1403492	11318
992	1404943	9903
993	1406342	8488
994	1407787	7074
995	1409178	5659
996	1410572	4244
997	1412069	2829
998	1413440	1414
999	1414824	0
