iter	Logloss
0	0.5576208233
1	0.4546640297
2	0.3818524147
3	0.3268782274
4	0.2795442646
5	0.2431711794
6	0.215882392
7	0.1923948029
8	0.175357369
9	0.1614208632
10	0.1463192262
11	0.1352732263
12	0.1259479692
13	0.1167952872
14	0.1082884833
15	0.101523125
16	0.09573921233
17	0.08993522538
18	0.08481095076
19	0.08025813616
20	0.07645176451
21	0.07320100908
22	0.06990279474
23	0.06639146019
24	0.06347599199
25	0.06077803889
26	0.05841519413
27	0.0560082652
28	0.05370864578
29	0.05155573508
30	0.04986813041
31	0.0481113487
32	0.04668084206
33	0.04530816507
34	0.04376485653
35	0.0427124884
36	0.04137028548
37	0.04014821409
38	0.03893469797
39	0.03766117168
40	0.03659896464
41	0.03559546718
42	0.03429736777
43	0.03319273007
44	0.03222422243
45	0.03141093526
46	0.03056483396
47	0.02982714209
48	0.02914149257
49	0.02842394027
50	0.02771641788
51	0.02687800882
52	0.02645286347
53	0.02589856959
54	0.0253701204
55	0.02478670862
56	0.02424553894
57	0.02373598918
58	0.02327448817
59	0.02274928317
60	0.02217133961
61	0.02154317162
62	0.02113815617
63	0.02071202934
64	0.02039529102
65	0.01988812605
66	0.01953011018
67	0.01919023347
68	0.01872182346
69	0.01837650874
70	0.01805316722
71	0.01770904792
72	0.01741281178
73	0.0171670128
74	0.01689194001
75	0.01661929915
76	0.01627483658
77	0.01595837747
78	0.01562037305
79	0.01533739286
80	0.01496514198
81	0.01474488552
82	0.01443593614
83	0.01419255942
84	0.01395430281
85	0.01372338308
86	0.01340389131
87	0.01324577718
88	0.01301693644
89	0.01290401488
90	0.01272768908
91	0.01248654485
92	0.01229473061
93	0.01208908748
94	0.01196572506
95	0.01177276979
96	0.01156020678
97	0.01142050739
98	0.01130593352
99	0.01111556852
100	0.01098087925
101	0.0108205701
102	0.01070917635
103	0.01060167223
104	0.01047177067
105	0.01030777737
106	0.01019641987
107	0.0100629369
108	0.009960254336
109	0.009809409409
110	0.009700112168
111	0.009593691663
112	0.009470587296
113	0.009354381054
114	0.009290744748
115	0.009203676337
116	0.009143363991
117	0.009050782038
118	0.008936657198
119	0.008873799303
120	0.008749769668
121	0.008668815531
122	0.008572538543
123	0.008499296597
124	0.008417390599
125	0.008306580654
126	0.008210334488
127	0.008145109329
128	0.008084783083
129	0.008010987547
130	0.007933581586
131	0.007859042691
132	0.007777457002
133	0.007699038139
134	0.007624800819
135	0.007572300383
136	0.007495598497
137	0.007440512625
138	0.007375028197
139	0.007303898477
140	0.007220920954
141	0.007170649385
142	0.0071150347
143	0.007050032549
144	0.00699242228
145	0.006915516726
146	0.006873483138
147	0.006819532851
148	0.006768329968
149	0.006705101603
150	0.006635936645
151	0.006574110991
152	0.006498984662
153	0.006444178002
154	0.006403454054
155	0.006366380418
156	0.00630370383
157	0.006264327597
158	0.006199472908
159	0.006159853724
160	0.006122136448
161	0.006093636816
162	0.006017854156
163	0.005983050483
164	0.005909342578
165	0.005864939309
166	0.005802896691
167	0.00576384681
168	0.005724422832
169	0.005695934078
170	0.005656549384
171	0.00563072705
172	0.005596232203
173	0.005569146764
174	0.00553268655
175	0.005471349216
176	0.005431577733
177	0.005398448127
178	0.005344199288
179	0.005305673384
180	0.005265202057
181	0.005216478848
182	0.005163451414
183	0.005117007233
